Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",2/2/2024,6155,Community Centre/Facilities,The Inkworks,The Inkworks 20-22 Hepburn Road St Pauls Bristol BS2 8UD,20,Hepburn Road,Bristol,BS2 8UD,Ashley,359205,174019,Freehold,,Land and Building(s),798,0.118815,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,7222,Offices,6 King Street And 46 Queen Charlotte Street,6 King Street And 46 Queen Charlotte Street City Centre Bristol BS1 4EQ,6,King Street,Bristol,BS1 4EQ,Central,358852,172710,Freehold,,Land and Building(s),320,0.0172,,Investment Properties
"Bristol, City of",2/2/2024,7008,Offices,Temple Gate House,Temple Gate House Temple Gate City Centre Bristol BS1 6PL,,,,BS1 6PL,Central,359509,172322,Freehold,,Land and Building(s),7900,0.466401,,Investment Properties
"Bristol, City of",2/2/2024,7304,Land-Retail/Commercial,Baltic Wharf - Caravan Site,Baltic Wharf - Caravan Site Cumberland Road Spike Island Bristol BS1 6XG,,,,BS1 6XG,Hotwells & Harbourside,357376,172175,Freehold,,Land only,,0.848318,,Investment Properties
"Bristol, City of",2/2/2024,7227,Public House,King Street Warehouse,King Street Warehouse 13-15 King Street City Centre Bristol BS1 4EF,13,King Street,Bristol,BS1 4EF,Central,358798,172695,Freehold,,Land and Building(s),0,0.05291,,Investment Properties
"Bristol, City of",2/2/2024,3616,Shop/Kiosk,38-40 The Horsefair,38-40 The Horsefair City Centre Bristol BS1 3JE,38,The Horsefair,Bristol,BS1 3JE,Central,359090,173410,Freehold,,Land and Building(s),,0.0203,,Investment Properties
"Bristol, City of",2/2/2024,10242,Retail Warehouse,Unit 16 Avon Valley Business Park,Unit 16 Avon Valley Business Park Chapel Way St Annes Bristol BS4 4EU,,Chapel Way,Bristol,BS4 4EU,Brislington East,362176,172656,Freehold,,Land and Building(s),,0.008376,,Investment Properties
"Bristol, City of",2/2/2024,3836,Shop/Kiosk,53 Broadmead And 33-35 Merchant Street,53 Broadmead And 33-35 Merchant Street City Centre Bristol BS1 3EA,55,Broadmead,Bristol,BS1 3EA,Central,359146,173325,Freehold,,Land and Building(s),0,0.02,,Investment Properties
"Bristol, City of",2/2/2024,543,Offices,Aylward House,Aylward House Wine Street City Centre Bristol BS1 2BQ,,Wine Street,Bristol,BS1 2BQ,Central,359038,173134,Freehold,,Land and Building(s),0,0.0526,,Investment Properties
"Bristol, City of",2/2/2024,256,House Service Occupancy,Ashley Down Primary School House,Ashley Down Primary School House 9 Downend Road Ashley Down Bristol BS7 9PD,9,Downend Road,Bristol,BS7 9PD,Bishopston & Ashley Down,359516,176200,Freehold,,Land and Building(s),101,0.015991,Yes,Direct Service
"Bristol, City of",2/2/2024,207,Primary School,Frome Vale Academy And Childrens Centre,Frome Vale Academy And Childrens Centre Frenchay Road Downend Bristol BS16 2QS,,Frenchay Road,Bristol,BS16 2QS,Frome Vale,364251,177051,Freehold Reversion,,Land and Building(s),2911.7,3.594605,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,80502,Primary School,St Werburghs Primary School Academy - Silver Birch Annexe,St Werburghs Primary School Academy - Silver Birch Annexe Stafford Road St Werburghs Bristol BS2 9UR,,Mogg Street,Bristol,BS2 9UR,Ashley,360237,174713,Freehold Reversion,,Land and Building(s),1113.2,0.218607,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1042,House Service Occupancy,Badocks Wood E-ACT Academy School House,Badocks Wood E-ACT Academy School House 115 Doncaster Road Southmead Bristol BS10 5PU,115,Doncaster Road,Bristol,BS10 5PU,Southmead,358039,178043,Freehold Reversion,,Land and Building(s),67.1,0.033,,Indirect Service / Non-Investment Letting(s)
